date, pm25, pm10, o3, no2, so2, co
2025/11/1, 38, 11, 32, 2, 2, 
2025/11/2, 40, 13, 34, 7, 2, 
2025/11/3, 32, 15, 33, 7, 2, 
2025/11/4, 59, 15, 18, 6, 2, 
2025/11/5, 33, 10, 36, 3, 2, 
2025/11/6, 20, 13, 36, 4, 2, 
2025/11/7, 30, 12, 31, 1, , 
2025/11/8, 46, 16, 32, 5, 3, 
2025/11/9, 65, 16, 34, 5, 2, 
2025/11/10, 40, 24, 22, 11, 1, 
2025/11/11, 35, 28, 37, 9, 1, 
2025/11/12, 119, 46, 24, 11, , 
2025/11/13, 138, 36, 27, 7, , 
2025/11/14, 65, 13, 25, 5, , 
2025/11/15, 66, 11, 28, 3, , 
2025/11/16, 66, 10, 27, 4, , 
2025/11/17, 55, , , , , 
2025/10/1, 59, 15, 37, 5, 2, 
2025/10/2, 34, 18, 39, 6, 2, 
2025/10/3, 35, 20, 39, 8, 3, 
2025/10/4, 44, 18, 42, 4, 2, 
2025/10/5, 49, 17, 34, 4, 2, 
2025/10/6, 41, 21, 32, 5, 2, 
2025/10/7, 38, 20, 37, 6, 2, 
2025/10/8, 37, 22, 39, 6, 2, 
2025/10/9, 47, 18, 36, 5, 2, 
2025/10/10, 46, 16, 38, 3, 2, 
2025/10/11, 37, 22, 32, 3, 2, 
2025/10/12, 43, 38, 33, 4, , 
2025/10/13, 55, 46, 24, 7, , 
2025/10/14, 59, 17, 36, 5, 1, 
2025/10/15, 37, 22, 35, 5, 2, 
2025/10/16, 44, 17, 36, 5, 3, 
2025/10/17, 54, 15, 37, 3, 2, 
2025/10/18, 49, 15, 37, 2, 2, 
2025/10/19, 38, 15, 29, 3, 3, 
2025/10/20, 38, 12, 28, 1, 3, 
2025/10/21, 31, 13, 30, 1, 2, 
2025/10/22, 37, 14, 25, 1, 2, 
2025/10/23, 35, 15, 25, 8, 2, 
2025/10/24, 40, 16, 32, 5, 2, 
2025/10/25, 41, 15, 23, 1, 2, 
2025/10/26, 27, 12, 24, 6, 2, 
2025/10/27, 23, 11, 23, 9, 2, 
2025/10/28, 30, 10, 25, 7, 2, 
2025/10/29, 48, 10, 32, 5, 2, 
2025/10/30, 26, 11, 32, 10, 2, 
2025/10/31, 31, 14, 33, 6, 2, 
2025/7/1, 51, 16, 41, 6, 3, 
2025/7/2, 50, 19, 35, 5, 3, 
2025/7/3, 53, 16, 39, 4, 2, 
2025/7/4, 45, 15, 39, 4, 3, 
2025/7/5, 46, 17, 39, 3, 3, 
2025/7/6, 51, 19, 48, 5, 2, 
2025/7/7, 58, 22, 39, 6, 3, 
2025/7/8, 59, 18, 31, 3, 2, 
2025/7/9, 53, 18, 38, 3, 2, 
2025/7/10, 53, 17, 37, 2, 2, 
2025/7/11, 53, 14, 33, 1, 2, 
2025/7/12, 51, 13, 38, 2, 3, 
2025/7/13, 53, 16, 37, 4, 2, 
2025/7/14, 53, 22, 39, 4, 2, 
2025/7/15, 54, 22, 35, 4, 2, 
2025/7/16, 53, 23, 39, 6, 2, 
2025/7/17, 54, 26, 42, 8, 2, 
2025/7/18, 62, 19, 40, 1, 2, 
2025/7/19, 51, 14, 36, , 2, 
2025/7/20, 39, 16, 37, 4, 2, 
2025/7/21, 49, 19, 35, 6, 2, 
2025/7/22, 64, 18, 42, 7, 3, 
2025/7/23, 57, 18, 48, 6, 2, 
2025/7/24, 54, 16, 41, 3, 3, 
2025/7/25, 48, 16, 38, 2, 3, 
2025/7/26, 50, 17, 42, 4, 2, 
2025/7/27, 61, 18, 48, 10, 2, 
2025/7/28, 55, 17, 43, 3, 2, 
2025/7/29, 51, 16, 38, 3, 1, 
2025/7/30, 42, 15, 43, 3, 2, 
2025/7/31, 59, 13, 40, 3, 2, 
2025/8/1, 46, 15, 40, 2, 2, 
2025/8/2, 41, 15, 42, 2, 3, 
2025/8/3, 41, 17, 39, 4, 2, 
2025/8/4, 49, 17, 44, 4, 2, 
2025/8/5, 47, 17, 45, 6, 2, 
2025/8/6, 50, 19, 45, 9, 9, 
2025/8/7, 58, 18, 44, 5, 2, 
2025/8/8, 56, 20, 50, 3, 2, 
2025/8/9, 59, 21, 45, 3, 2, 
2025/8/10, 61, 22, 42, 6, 2, 
2025/8/11, 63, 23, 40, 7, 2, 
2025/8/12, 60, 21, 44, 5, 2, 
2025/8/13, 56, 20, 49, 5, 3, 
2025/8/14, 55, 20, 51, 3, 2, 
2025/8/15, 66, 22, 44, 5, 3, 
2025/8/16, 64, 21, 49, 6, 2, 
2025/8/17, 56, 21, 49, 9, 2, 
2025/8/18, 59, 27, 60, 5, 2, 
2025/8/19, 71, 28, 50, 3, 3, 
2025/8/20, 75, 20, 51, 3, , 
2025/8/21, 60, 24, 37, 6, , 
2025/8/22, 68, , , , , 
2025/8/25, 64, 35, 39, 7, 2, 
2025/8/26, 145, 40, 44, 5, 2, 
2025/8/27, 131, 25, 36, 1, 2, 
2025/8/28, 40, 14, 41, 1, 2, 
2025/8/29, 37, 13, 44, 3, 3, 
2025/8/30, 44, 15, 45, 4, 3, 
2025/8/31, 46, 15, 33, 1, 2, 
2025/9/1, 56, 15, 40, 3, 3, 
2025/9/2, 62, 19, 40, 6, 2, 
2025/9/3, 68, 18, 42, 8, 2, 
2025/9/4, 48, 19, 40, 8, 2, 
2025/9/5, 50, 18, 33, 3, , 
2025/9/6, 42, 22, 28, 6, 2, 
2025/9/7, 43, 29, 37, 11, 2, 
2025/9/8, 55, 24, 40, 2, 2, 
2025/9/9, 58, 15, 36, 1, 2, 
2025/9/10, 34, 13, 33, 5, 2, 
2025/9/11, 29, 16, 37, 10, 3, 
2025/9/12, 39, 17, 42, 7, 2, 
2025/9/13, 42, 17, 27, 6, 3, 
2025/9/14, 45, 12, 34, 6, 2, 
2025/9/15, 20, 16, 34, 5, 2, 
2025/9/16, 42, 15, 32, 4, 2, 
2025/9/17, 36, 16, 33, 5, 2, 
2025/9/18, 58, 16, 31, 5, 2, 
2025/9/19, 38, 13, 31, 3, 2, 
2025/9/20, 30, 15, 36, 4, , 
2025/9/21, 41, 12, 41, 5, 3, 
2025/9/22, 30, 17, 41, 4, 2, 
2025/9/23, 71, 15, 38, 5, 2, 
2025/9/24, 58, 15, 38, 6, 2, 
2025/9/25, 36, 15, 39, 5, 2, 
2025/9/26, 35, 15, 40, 4, 2, 
2025/9/27, 33, 15, 30, 3, 2, 
2025/9/28, 45, 12, 29, 6, , 
2025/9/29, 29, 16, 36, 7, 2, 
2025/9/30, 46, 16, 36, 5, 2, 
2025/4/1, 37, 15, 36, 3, 2, 
2025/4/2, 42, 14, 31, 4, 2, 
2025/4/3, 39, 25, 34, 4, 2, 
2025/4/4, 54, 17, 36, 2, 2, 
2025/4/5, 40, 11, 33, 1, 2, 
2025/4/6, 25, 13, 37, 4, 3, 
2025/4/7, 27, 18, 42, 4, 2, 
2025/4/8, 44, 19, 40, 5, 2, 
2025/4/9, 54, 21, 39, 4, 2, 
2025/4/10, 55, 25, 37, 4, 2, 
2025/4/11, 62, 24, 32, 4, 2, 
2025/4/12, 58, 20, 32, 2, 2, 
2025/4/13, 53, 15, 38, 2, 2, 
2025/4/14, 44, 13, 37, 1, 2, 
2025/4/15, 35, 11, 37, 1, 2, 
2025/4/16, 28, 11, 31, 1, 2, 
2025/4/17, 29, 11, 30, 3, 2, 
2025/4/18, 35, 14, 38, 4, , 
2025/4/19, 38, 11, 35, 1, , 
2025/4/20, 34, 11, 34, 3, 2, 
2025/4/21, 34, 13, 36, 3, 2, 
2025/4/22, 39, 15, 40, 3, 2, 
2025/4/23, 47, 14, 40, 5, 2, 
2025/4/24, 49, 15, 39, 7, 3, 
2025/4/25, 52, 16, 39, 3, 2, 
2025/4/26, 53, 18, 38, 2, 2, 
2025/4/27, 54, 17, 28, 4, , 
2025/4/28, 47, , , , , 
2025/4/30, 44, 18, 37, 3, 2, 
2025/5/1, 42, 26, 36, 3, 3, 
2025/5/2, 58, 16, 36, 1, 2, 
2025/5/3, 41, 12, 37, 1, 2, 
2025/5/4, 32, 13, 36, 1, 3, 
2025/5/5, 37, 12, 38, 2, 2, 
2025/5/6, 37, 16, 45, 3, 2, 
2025/5/7, 45, 18, 37, 3, 2, 
2025/5/8, 51, 15, 35, 4, 2, 
2025/5/9, 37, 15, 34, 4, 2, 
2025/5/10, 38, 15, 40, 1, 2, 
2025/5/11, 34, 13, 40, 1, 2, 
2025/5/12, 36, 17, 39, 5, 2, 
2025/5/13, 41, 18, 31, 5, 2, 
2025/5/14, 34, 15, 42, 2, 2, 
2025/5/15, 29, 16, 43, 4, 2, 
2025/5/21, 13, 16, 43, 10, 3, 
2025/5/22, 42, 14, , 4, 2, 
2025/5/23, 43, 14, 40, 2, 2, 
2025/5/24, 38, 14, 43, 3, 2, 
2025/5/25, 37, 15, 42, 7, 3, 
2025/5/26, 37, 15, 50, 6, 3, 
2025/5/27, 36, 16, 44, 6, 2, 
2025/5/28, 41, 17, 44, 6, 2, 
2025/5/29, 42, 17, 44, 6, 3, 
2025/5/30, 46, 18, 46, 6, 2, 
2025/5/31, 47, 18, 42, 5, , 
2025/6/1, 43, 18, 47, 6, 1, 
2025/6/2, 51, 22, 46, 3, 2, 
2025/6/3, 56, 21, 45, 2, 2, 
2025/6/4, 58, 21, 42, 5, 2, 
2025/6/5, 60, 23, 44, 9, 2, 
2025/6/6, 55, 25, 49, 6, 2, 
2025/6/7, 64, 21, 50, 4, 2, 
2025/6/8, 55, 32, 39, 6, 2, 
2025/6/9, 79, 28, 39, 5, 2, 
2025/6/10, 67, 22, 42, 4, 2, 
2025/6/11, 55, 19, 41, 7, 2, 
2025/6/12, 58, 22, 46, 7, 2, 
2025/6/13, 61, 23, 43, 4, 2, 
2025/6/14, 64, 29, 40, 6, 2, 
2025/6/15, 69, 25, 47, 5, 2, 
2025/6/16, 65, 21, 43, 4, 2, 
2025/6/17, 63, 23, 44, 6, 2, 
2025/6/18, 65, 24, 45, 6, 2, 
2025/6/19, 67, 21, 49, 6, 3, 
2025/6/20, 59, 19, 48, 6, 3, 
2025/6/21, 58, 19, 54, 5, 3, 
2025/6/22, 53, 19, 49, 5, 3, 
2025/6/23, 53, 21, 44, 4, 3, 
2025/6/24, 58, 18, 44, 3, 3, 
2025/6/25, 53, 18, 49, 4, 3, 
2025/6/26, 54, 19, 45, 5, 2, 
2025/6/27, 58, 20, 39, 4, 2, 
2025/6/28, 55, 21, 42, 4, 3, 
2025/6/29, 54, 15, 38, 7, 3, 
2025/6/30, 50, 16, 42, 7, 3, 
2025/1/1, 43, 20, 29, 6, 2, 
2025/1/2, 40, 22, 32, 4, 2, 
2025/1/3, 44, 21, 35, 3, 3, 
2025/1/4, 42, 23, 30, 5, 2, 
2025/1/5, 46, 20, 31, 2, 2, 
2025/1/6, 36, 15, 34, 3, 2, 
2025/1/7, 24, 20, 23, 8, 2, 
2025/1/8, 31, 22, 31, 4, 2, 
2025/1/9, 41, 16, 28, 2, 2, 
2025/1/10, 25, 15, 26, 2, , 
2025/1/11, 23, 13, 27, 2, , 
2025/1/12, 16, 15, 27, 7, 1, 
2025/1/13, 37, 21, 33, 7, 3, 
2025/1/14, 33, 20, 33, 6, 3, 
2025/1/15, 40, 20, 33, 6, 2, 
2025/1/16, 38, 24, 30, 8, 2, 
2025/1/17, 50, 20, 32, 4, 2, 
2025/1/18, 39, 20, 32, 4, 2, 
2025/1/19, 40, 27, 18, 10, 2, 
2025/1/20, 54, 24, 25, 9, 2, 
2025/1/21, 52, 28, 27, 8, 2, 
2025/1/22, 52, 27, 28, 10, 2, 
2025/1/23, 50, 23, 30, 7, 2, 
2025/1/24, 45, 23, 27, 5, 2, 
2025/1/25, 45, 19, 28, 4, 2, 
2025/1/26, 39, 16, 37, 4, 2, 
2025/1/27, 24, 17, 35, 4, 2, 
2025/1/28, 22, 19, 35, 7, 2, 
2025/1/29, 32, 17, 32, 1, 2, 
2025/1/30, 30, 15, 29, 5, 3, 
2025/1/31, 30, 18, 33, 2, 3, 
2025/2/1, 41, 17, 28, 3, 2, 
2025/2/2, 30, 16, 29, 4, 2, 
2025/2/3, 31, 16, 31, 5, 2, 
2025/2/4, 29, 18, 33, 6, 2, 
2025/2/5, 34, 22, 35, 6, 2, 
2025/2/6, 49, 27, 35, 8, 2, 
2025/2/7, 56, 24, 34, 3, 2, 
2025/2/8, 54, 18, 32, 4, 2, 
2025/2/9, 36, 23, 31, 6, 2, 
2025/2/10, 56, 21, 34, 6, 2, 
2025/2/11, 52, 19, 35, 4, 2, 
2025/2/12, 41, 14, 33, 5, 2, 
2025/2/13, 32, 15, 35, 6, 2, 
2025/2/14, 41, 19, 30, 8, 2, 
2025/2/15, 49, 22, 37, 4, 2, 
2025/2/16, 54, 21, 34, 7, 2, 
2025/2/17, 50, 23, 36, 7, , 
2025/2/18, 54, 25, 36, 6, 2, 
2025/2/19, 58, 26, 34, 8, 2, 
2025/2/20, 59, 32, 38, 6, 3, 
2025/2/21, 68, 25, 40, 3, , 
2025/2/22, 55, 13, 33, , , 
2025/2/23, 32, 12, 32, 9, 1, 
2025/2/24, 26, 13, 30, 3, 2, 
2025/2/25, 31, 12, 32, 4, 2, 
2025/2/26, 30, 13, 34, 5, 2, 
2025/2/27, 28, 18, 35, 5, 2, 
2025/2/28, 42, 13, 30, 3, 2, 
2025/3/1, 30, 11, 25, , , 
2025/3/2, 24, 19, 30, 4, 1, 
2025/3/3, 26, 26, 34, 6, 2, 
2025/3/4, 48, 30, 29, 7, 2, 
2025/3/5, 60, 24, 27, 4, 2, 
2025/3/6, 51, 19, 31, 5, 2, 
2025/3/7, 38, 20, 33, 2, 2, 
2025/3/8, 35, 11, 32, 3, 2, 
2025/3/9, 21, 11, 33, 4, 2, 
2025/3/10, 27, 12, 34, 3, 2, 
2025/3/11, 23, 11, 33, 4, 2, 
2025/3/12, 21, 11, 31, 3, 2, 
2025/3/13, 19, 10, 35, 3, 2, 
2025/3/14, 17, 9, 35, 1, 2, 
2025/3/15, 20, 13, 29, 3, 2, 
2025/3/16, 22, 15, 28, 7, 2, 
2025/3/17, 30, 14, 33, 4, 2, 
2025/3/18, 24, 15, 32, 4, 2, 
2025/3/19, 27, 26, , 4, 2, 
2025/3/20, 49, 21, 35, 2, 2, 
2025/3/21, 40, 13, 36, 1, 2, 
2025/3/22, 23, 12, 32, 1, 2, 
2025/3/23, 19, 10, 35, 1, 2, 
2025/3/24, 19, 11, 28, 4, 2, 
2025/3/25, 22, 12, 36, 2, 2, 
