date, pm25, pm10, o3, no2, so2, co
2025/11/1, 66, 13, 30, 3, 1, 
2025/11/2, 34, 14, 26, 14, 1, 
2025/11/3, 35, 25, 26, 15, 1, 
2025/11/4, 43, 21, 26, 12, 1, 
2025/11/5, 29, 11, 31, 6, 1, 
2025/11/6, 23, 14, 30, 8, 1, 
2025/11/7, 27, 11, 30, 3, 1, 
2025/11/8, 31, 15, 26, 16, 1, 
2025/11/9, 33, 21, 24, 18, 1, 
2025/11/10, 41, 26, 29, 21, 1, 
2025/11/11, 50, 33, 35, 22, 1, 
2025/11/12, 53, 55, 23, 24, 1, 
2025/11/13, 72, 35, 30, 10, , 
2025/11/14, 47, 11, 27, 8, , 
2025/11/15, 16, 11, 27, 8, 1, 
2025/11/16, 17, 12, 27, 10, 1, 
2025/11/17, 26, 9, 25, 4, 1, 
2025/11/18, 16, , , , , 
2025/10/1, 48, 22, 34, 11, 1, 
2025/10/2, 42, 23, 37, 14, 1, 
2025/10/3, 32, 23, 38, 15, 1, 
2025/10/4, 45, 19, 42, 7, 1, 
2025/10/5, 47, 25, 32, 10, 2, 
2025/10/6, 47, 26, 30, 9, 1, 
2025/10/7, 34, 23, 36, 11, 1, 
2025/10/8, 36, 30, 35, 14, 1, 
2025/10/9, 47, 23, 34, 7, 1, 
2025/10/10, 40, 15, 35, 5, 1, 
2025/10/11, 32, 31, 36, 4, 1, 
2025/10/12, 37, 38, 36, 5, 1, 
2025/10/13, 48, 46, 34, 11, 1, 
2025/10/14, 51, 50, 34, 12, 1, 
2025/10/15, 53, 41, 31, 12, 1, 
2025/10/16, 46, 21, 31, 8, 1, 
2025/10/17, 28, 25, 34, 10, 1, 
2025/10/18, 39, 15, 33, 6, 1, 
2025/10/19, 32, 22, 25, 10, 1, 
2025/10/20, 33, 11, 26, 2, 1, 
2025/10/21, 25, 16, 27, 3, 1, 
2025/10/22, 40, 19, 23, 6, 1, 
2025/10/23, 41, 23, 20, 18, 2, 
2025/10/24, 43, 23, 21, 13, 2, 
2025/10/25, 43, 16, 20, 5, 2, 
