date,min,max,pm25,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,0.1,2.47,0.7,0.38,1.38,0.578,330
2021-09-08T00:00:00.000Z,0.2,2.8,0.77,0.56,1.08,0.44,579
2021-09-09T00:00:00.000Z,0.52,3.58,1.48,1.17,1.98,0.576,492
2021-09-10T00:00:00.000Z,0.82,6.3,2.13,1.6,2.88,1.03,537
2021-09-11T00:00:00.000Z,0.52,4.53,1.92,1.2,2.63,0.865,571
2021-09-12T00:00:00.000Z,0.6,4,2,1.2,2.6,0.779,564
2021-09-13T00:00:00.000Z,0.03,3.4,0.45,0.3,1.12,0.65,567
2021-09-14T00:00:00.000Z,0,1.52,0.32,0.2,0.5,0.22,583
2021-09-15T00:00:00.000Z,0,1.88,0.4,0.3,0.52,0.192,530
2021-09-16T00:00:00.000Z,0,1.63,0.4,0.3,0.52,0.213,538
2021-09-17T00:00:00.000Z,0,1.05,0.22,0.2,0.3,0.14,562
2021-09-18T00:00:00.000Z,0,1.75,0.3,0.2,0.56,0.305,549
2021-09-19T00:00:00.000Z,0,0.45,0.1,0.1,0.1,0.061,574
2021-09-20T00:00:00.000Z,0,0.8,0.2,0.1,0.3,0.117,574
2021-09-21T00:00:00.000Z,0.03,0.95,0.2,0.1,0.3,0.133,573
2021-09-22T00:00:00.000Z,0.1,1.35,0.38,0.28,0.55,0.209,568
2021-09-23T00:00:00.000Z,0.22,2.08,0.82,0.6,1.1,0.346,584
2021-09-24T00:00:00.000Z,0,1.77,0.22,0.17,0.38,0.223,563
2021-09-25T00:00:00.000Z,0,1.38,0.4,0.25,0.6,0.242,568
2021-09-26T00:00:00.000Z,0,1.2,0.3,0.2,0.5,0.227,557
2021-09-27T00:00:00.000Z,0,1.38,0.4,0.25,0.56,0.224,480
2021-09-28T00:00:00.000Z,0.2,2.75,0.8,0.6,1,0.374,569
2021-09-29T00:00:00.000Z,0.2,1.85,0.7,0.55,0.88,0.268,561
2021-09-30T00:00:00.000Z,0.4,2.25,1.12,0.9,1.33,0.308,551
2021-10-01T00:00:00.000Z,0.56,3.25,1.4,1.17,1.7,0.399,536
2021-10-02T00:00:00.000Z,0.4,2.1,1.1,0.9,1.33,0.296,564
